Food_ID,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type,coords
190,Salad,25,3/22/2025,262,Supermarket,New Carol,Non-Vegetarian,Snacks,"(42.6975023, -82.7436883)"
193,Pasta,25,3/21/2025,354,Catering Service,South Alicia,Vegan,Breakfast,"(33.3759116, -111.6227491)"
196,Fish,27,3/28/2025,989,Grocery Store,North Lauren,Non-Vegetarian,Breakfast,"(35.2640382, -82.969807)"
197,Rice,21,3/24/2025,453,Grocery Store,East Timothy,Vegetarian,Breakfast,"(41.3103383, -72.9236478)"
200,Bread,3,3/24/2025,794,Supermarket,Woodport,Non-Vegetarian,Dinner,"(40.9853758, -74.6104379)"
201,Soup,35,3/29/2025,330,Restaurant,Jamesport,Vegetarian,Dinner,"(40.9526865, -72.5796261)"
203,Pasta,8,3/24/2025,215,Grocery Store,New Curtis,Vegetarian,Breakfast,"(42.2072962, -77.1696957)"
208,Rice,27,3/26/2025,215,Grocery Store,New Curtis,Vegetarian,Dinner,"(42.2072962, -77.1696957)"
218,Fish,38,3/24/2025,159,Grocery Store,North Brooke,Vegan,Snacks,"(40.2073351, -80.5596501)"
221,Bread,11,3/19/2025,211,Restaurant,Lake James,Vegan,Snacks,"(41.7022171, -85.0401636)"
227,Vegetables,25,3/29/2025,923,Supermarket,Jonestown,Non-Vegetarian,Breakfast,"(7.6885627, -59.9498924)"
231,Rice,33,3/29/2025,782,Supermarket,North Mary,Non-Vegetarian,Breakfast,"(42.0092319, -87.8062782)"
232,Soup,19,3/28/2025,610,Supermarket,Allenton,Vegan,Lunch,"(43.4210536, -88.3408655)"
234,Rice,10,3/16/2025,888,Supermarket,West Sharonview,Vegetarian,Dinner,"(34.8445468, -82.4046597)"
236,Soup,50,3/21/2025,231,Supermarket,North Tom,Non-Vegetarian,Lunch,"(7.5943845, -1.7439321)"
237,Salad,39,3/27/2025,643,Supermarket,North Ebony,Vegan,Dinner,"(33.4624137, -111.686078)"
241,Fish,4,3/23/2025,135,Catering Service,East Candace,Vegetarian,Breakfast,"(36.045248, -94.2393356)"
243,Fruits,30,3/24/2025,750,Supermarket,Michaelton,Non-Vegetarian,Snacks,"(39.2109408, -76.6641349)"
246,Salad,50,3/28/2025,768,Restaurant,South Danielle,Non-Vegetarian,Snacks,"(-26.9165007, -48.69061)"
248,Vegetables,32,3/21/2025,960,Supermarket,Port Lance,Non-Vegetarian,Lunch,"(27.2732222, -80.4091955)"
253,Rice,20,3/19/2025,231,Supermarket,North Tom,Vegan,Snacks,"(7.5943845, -1.7439321)"
254,Rice,30,3/24/2025,703,Catering Service,Lake Jamestown,Non-Vegetarian,Lunch,"(42.1933778, -87.9285182)"
255,Dairy,44,3/24/2025,825,Supermarket,South Bryan,Non-Vegetarian,Lunch,"(33.1382085, -100.2321388)"
257,Chicken,41,3/25/2025,344,Catering Service,North Nicholas,Vegan,Snacks,"(38.3126073, -84.0271911)"
265,Fruits,32,3/26/2025,862,Grocery Store,East Tammy,Non-Vegetarian,Breakfast,"(45.4734849, -75.4973627)"
268,Fish,21,3/29/2025,485,Restaurant,East Andrea,Non-Vegetarian,Breakfast,"(34.234781, -118.4663184)"
269,Soup,36,3/28/2025,595,Grocery Store,Port Matthew,Non-Vegetarian,Snacks,"(52.4841221, -1.9113631)"
271,Rice,22,3/17/2025,254,Restaurant,Reidland,Vegan,Breakfast,"(37.0175574, -88.5314345)"
274,Salad,37,3/29/2025,768,Restaurant,South Danielle,Vegan,Snacks,"(-26.9165007, -48.69061)"
276,Fruits,47,3/29/2025,839,Grocery Store,Port Erin,Vegan,Breakfast,"(54.086017, -4.7568003)"
279,Chicken,3,3/25/2025,326,Supermarket,Lake Alicia,Non-Vegetarian,Lunch,"(28.7222681, -81.8673844)"
280,Pasta,44,3/27/2025,393,Restaurant,Heatherview,Vegan,Dinner,"(39.5084344, -77.4360968)"
281,Rice,28,3/23/2025,356,Supermarket,West Michael,Non-Vegetarian,Breakfast,"(52.3916843, 4.8619939)"
285,Rice,44,3/19/2025,353,Grocery Store,North Aaron,Vegetarian,Breakfast,"(33.437021, -111.6255295)"
286,Pasta,37,3/26/2025,43,Supermarket,South Karen,Vegetarian,Snacks,"(-1.32253, 36.70915)"
288,Bread,48,3/22/2025,703,Catering Service,Lake Jamestown,Vegetarian,Breakfast,"(42.1933778, -87.9285182)"
292,Chicken,16,3/17/2025,906,Supermarket,West Kevin,Non-Vegetarian,Breakfast,"(53.2000721, 6.5104656)"
293,Rice,32,3/27/2025,276,Supermarket,Port Eric,Non-Vegetarian,Dinner,"(10.6487507, -61.5123717)"
295,Soup,39,3/17/2025,344,Catering Service,North Nicholas,Non-Vegetarian,Dinner,"(38.3126073, -84.0271911)"
298,Chicken,2,3/22/2025,883,Supermarket,New Jacob,Vegetarian,Lunch,"(46.0068697, -66.6371455)"
299,Dairy,14,3/21/2025,718,Restaurant,Port Victoria,Non-Vegetarian,Lunch,"(-4.6232085, 55.452359)"
308,Soup,11,3/29/2025,973,Supermarket,New Larry,Vegan,Snacks,"(44.524213, -73.6943071)"
315,Salad,47,3/18/2025,761,Catering Service,New Zachary,Vegetarian,Dinner,"(30.6416011, -91.1569474)"
316,Salad,4,3/28/2025,494,Supermarket,New Denise,Vegetarian,Dinner,"(45.916764, -1.3253229)"
318,Pasta,48,3/25/2025,946,Catering Service,Roystad,Vegan,Lunch,"(60.8696474, 11.1929755)"
321,Pasta,20,3/18/2025,572,Supermarket,Lake Cathy,Non-Vegetarian,Lunch,"(28.520181, -81.4761975)"
324,Soup,39,3/24/2025,346,Grocery Store,Thomasville,Vegetarian,Snacks,"(35.8831786, -80.081817)"
325,Chicken,32,3/25/2025,365,Restaurant,West Robert,Vegan,Dinner,"(18.7880711, -72.4940048)"
328,Chicken,36,3/19/2025,876,Grocery Store,Brookeland,Vegetarian,Snacks,"(31.1526918, -93.9935221)"
329,Rice,42,3/17/2025,716,Catering Service,North Ryan,Vegetarian,Dinner,"(33.6342169, -111.926644)"
331,Fish,8,3/22/2025,480,Catering Service,East Kevin,Vegan,Breakfast,"(40.7911629, -73.9394101)"
333,Salad,41,3/20/2025,139,Supermarket,Port Connie,Non-Vegetarian,Breakfast,"(27.0676294, -82.0974756)"
338,Chicken,7,3/19/2025,735,Restaurant,Westmouth,Non-Vegetarian,Lunch,"(34.7040516, -76.554647)"
343,Bread,40,3/27/2025,563,Grocery Store,East Angela,Vegan,Snacks,"(51.5423838, 0.027966)"
344,Vegetables,44,3/23/2025,678,Grocery Store,Lake Travis,Vegan,Snacks,"(30.4645913, -98.0783472)"
345,Pasta,14,3/20/2025,346,Grocery Store,Thomasville,Vegan,Lunch,"(35.8831786, -80.081817)"
346,Chicken,16,3/28/2025,2,Grocery Store,East Sheena,Vegan,Snacks,"(10.6851592, 122.5365417)"
351,Bread,45,3/25/2025,678,Grocery Store,Lake Travis,Non-Vegetarian,Snacks,"(30.4645913, -98.0783472)"
358,Fruits,41,3/21/2025,810,Catering Service,Lake Jason,Vegetarian,Breakfast,"(28.9398977, -81.9411826)"
359,Bread,6,3/23/2025,811,Grocery Store,East Emily,Non-Vegetarian,Lunch,"(49.2675802, -123.0921846)"
363,Bread,24,3/23/2025,770,Supermarket,East Melissa,Non-Vegetarian,Breakfast,"(1.3176717, 103.8931013)"
367,Vegetables,38,3/29/2025,610,Supermarket,Allenton,Non-Vegetarian,Snacks,"(43.4210536, -88.3408655)"
370,Fruits,35,3/16/2025,783,Restaurant,Port Melanie,Vegan,Lunch,"(-31.4450226, 152.9179529)"
371,Bread,34,3/21/2025,154,Supermarket,New John,Non-Vegetarian,Lunch,"(42.7404607, -78.3235486)"
374,Chicken,44,3/21/2025,709,Restaurant,South Kathryn,Vegan,Lunch,"(42.2813334, -82.9101686)"
377,Pasta,22,3/25/2025,737,Restaurant,Port Andrea,Non-Vegetarian,Breakfast,"(35.8886005, 14.5155643)"
381,Pasta,35,3/18/2025,86,Catering Service,New Michelle,Vegan,Dinner,"(29.9586565, -90.0606366)"
383,Vegetables,48,3/19/2025,783,Restaurant,Port Melanie,Vegan,Lunch,"(-31.4450226, 152.9179529)"
385,Pasta,7,3/25/2025,885,Restaurant,Lake Stephen,Non-Vegetarian,Dinner,"(31.2853474, -92.5005056)"
390,Soup,19,3/27/2025,264,Catering Service,New Richard,Non-Vegetarian,Lunch,"(-34.6000338, -58.5458835)"
394,Fruits,30,3/21/2025,485,Restaurant,East Andrea,Vegetarian,Dinner,"(34.234781, -118.4663184)"
400,Rice,42,3/29/2025,897,Catering Service,Villastad,Vegan,Lunch,"(57.199126, 13.4409919)"
402,Fish,11,3/29/2025,429,Grocery Store,Lake Benjamin,Non-Vegetarian,Lunch,"(41.864365, -71.9511323)"
407,Chicken,32,3/20/2025,912,Catering Service,Blaketown,Vegetarian,Lunch,"(-42.4485054, 171.1922497)"
410,Salad,21,3/19/2025,273,Supermarket,New Carol,Non-Vegetarian,Snacks,"(42.6975023, -82.7436883)"
411,Soup,39,3/30/2025,419,Supermarket,Port Peter,Non-Vegetarian,Breakfast,"(49.4568142, -2.5389979)"
414,Vegetables,7,3/21/2025,353,Grocery Store,North Aaron,Non-Vegetarian,Snacks,"(33.437021, -111.6255295)"
416,Soup,49,3/26/2025,888,Supermarket,West Sharonview,Vegan,Dinner,"(34.8445468, -82.4046597)"
421,Dairy,24,3/17/2025,676,Catering Service,Lake Jasmin,Vegetarian,Dinner,"(47.6721866, 9.4845768)"
423,Fish,6,3/30/2025,926,Grocery Store,North Chase,Vegan,Breakfast,"(37.4196615, -77.6687938)"
426,Bread,6,3/22/2025,461,Restaurant,New Hannah,Vegetarian,Dinner,"(40.6348081, -74.0746734)"
427,Soup,34,3/18/2025,338,Catering Service,Adambury,Non-Vegetarian,Lunch,"(30.1024632, -95.4239034)"
430,Dairy,33,3/28/2025,853,Catering Service,East Michelle,Vegan,Snacks,"(6.1176905, 125.1657848)"
431,Pasta,21,3/20/2025,144,Catering Service,Bellport,Non-Vegetarian,Lunch,"(40.757252, -72.9394713)"
432,Dairy,34,3/17/2025,979,Restaurant,West Hunter,Non-Vegetarian,Breakfast,"(40.6938348, -112.0624409)"
434,Vegetables,20,3/23/2025,460,Grocery Store,Lake Justin,Non-Vegetarian,Snacks,"(41.677029, -81.3552256)"
437,Chicken,29,3/16/2025,345,Catering Service,North Tracy,Non-Vegetarian,Dinner,"(25.9168388, -80.1470608)"
439,Fruits,41,3/16/2025,986,Supermarket,Port David,Vegan,Dinner,"(47.8054009, 1.7085002)"
443,Chicken,34,3/22/2025,671,Grocery Store,North Catherine,Non-Vegetarian,Lunch,"(51.0349922, 7.0512623)"
444,Dairy,27,3/27/2025,117,Restaurant,Amberton,Non-Vegetarian,Lunch,"(47.562129, -122.1200653)"
447,Soup,21,3/26/2025,736,Supermarket,East Anthony,Vegetarian,Lunch,"(48.691343, 6.1837535)"
454,Pasta,4,3/22/2025,189,Supermarket,Brianside,Vegetarian,Lunch,"(53.8115389, -1.4609156)"
455,Pasta,17,3/27/2025,630,Catering Service,West Matthew,Vegan,Dinner,"(51.447631, -2.5994305)"
456,Vegetables,16,3/19/2025,144,Catering Service,Bellport,Vegetarian,Snacks,"(40.757252, -72.9394713)"
459,Rice,2,3/22/2025,213,Grocery Store,Andersonville,Vegetarian,Snacks,"(32.1959947, -84.1399085)"
466,Rice,6,3/30/2025,729,Grocery Store,Lake Nathan,Vegetarian,Dinner,"(42.2957792, -87.9886276)"
467,Dairy,7,3/28/2025,337,Restaurant,New Ricky,Non-Vegetarian,Dinner,"(42.7261438, -77.6743917)"
471,Pasta,15,3/30/2025,637,Grocery Store,East Williamshire,Vegetarian,Lunch,"(39.9133422, -86.1756852)"
474,Rice,5,3/22/2025,215,Grocery Store,New Curtis,Vegetarian,Dinner,"(42.2072962, -77.1696957)"
476,Fruits,2,3/28/2025,993,Restaurant,East Stephanie,Non-Vegetarian,Dinner,"(53.3361257, -1.9480654)"
477,Dairy,40,3/18/2025,262,Supermarket,New Carol,Vegan,Breakfast,"(42.6975023, -82.7436883)"
479,Salad,2,3/18/2025,786,Restaurant,Basstown,Vegetarian,Breakfast,"(35.0871112, -78.35639)"
480,Pasta,25,3/24/2025,517,Grocery Store,Wadeville,Non-Vegetarian,Lunch,"(39.1506329, -81.6356828)"
481,Dairy,16,3/19/2025,705,Grocery Store,East Robert,Vegan,Dinner,"(51.8011319, -8.1846986)"
482,Salad,32,3/27/2025,912,Catering Service,Blaketown,Non-Vegetarian,Dinner,"(-42.4485054, 171.1922497)"
489,Fish,39,3/25/2025,705,Grocery Store,East Robert,Vegetarian,Dinner,"(51.8011319, -8.1846986)"
490,Salad,3,3/24/2025,563,Grocery Store,East Angela,Non-Vegetarian,Snacks,"(51.5423838, 0.027966)"
491,Fruits,23,3/25/2025,139,Supermarket,Port Connie,Vegan,Lunch,"(27.0676294, -82.0974756)"
493,Fish,26,3/30/2025,102,Grocery Store,West Samantha,Vegetarian,Snacks,"(-26.0666551, 28.0122651)"
494,Bread,41,3/24/2025,129,Restaurant,Port Emily,Vegetarian,Breakfast,"(52.4848812, -1.9345094)"
495,Pasta,34,3/22/2025,494,Supermarket,New Denise,Vegetarian,Dinner,"(45.916764, -1.3253229)"
497,Dairy,48,3/27/2025,709,Restaurant,South Kathryn,Vegetarian,Dinner,"(42.2813334, -82.9101686)"
498,Rice,28,3/16/2025,507,Grocery Store,Lake Diane,Non-Vegetarian,Snacks,"(41.7182904, -84.6441773)"
499,Salad,6,3/23/2025,154,Supermarket,New John,Non-Vegetarian,Snacks,"(42.7404607, -78.3235486)"
500,Pasta,14,3/30/2025,230,Grocery Store,North Melanie,Vegan,Dinner,"(35.7778318, -78.5423183)"
501,Chicken,27,3/24/2025,11,Supermarket,South Robert,Vegetarian,Lunch,"(18.3545614, -73.755967)"
505,Pasta,12,3/22/2025,494,Supermarket,New Denise,Vegetarian,Snacks,"(45.916764, -1.3253229)"
506,Fruits,37,3/29/2025,793,Grocery Store,West Brandon,Non-Vegetarian,Snacks,"(38.9381565, -92.3401292)"
508,Dairy,42,3/18/2025,176,Restaurant,East John,Vegan,Lunch,"(6.2364146, -57.3290261)"
509,Dairy,18,3/17/2025,980,Restaurant,Port Melissa,Non-Vegetarian,Snacks,"(29.9727035, -93.95587)"
511,Salad,25,3/27/2025,879,Supermarket,Lake Michael,Vegan,Snacks,"(42.5244956, -83.4359107)"
516,Fish,24,3/23/2025,846,Supermarket,South Thomasville,Non-Vegetarian,Breakfast,"(33.7018563, -84.3695354)"
522,Rice,7,3/22/2025,783,Restaurant,Port Melanie,Vegetarian,Lunch,"(-31.4450226, 152.9179529)"
526,Rice,11,3/30/2025,883,Supermarket,New Jacob,Vegetarian,Lunch,"(46.0068697, -66.6371455)"
531,Salad,42,3/17/2025,57,Grocery Store,Port Robin,Vegan,Lunch,"(18.5639033, -72.3146324)"
533,Fruits,25,3/17/2025,273,Supermarket,New Carol,Vegetarian,Breakfast,"(42.6975023, -82.7436883)"
534,Vegetables,34,3/30/2025,223,Restaurant,Longland,Non-Vegetarian,Dinner,"(54.9878702, -7.1996808)"
535,Fish,24,3/29/2025,668,Grocery Store,Salinasville,Vegan,Snacks,"(14.4354562, 120.9384864)"
537,Salad,9,3/17/2025,949,Supermarket,Lake Deborah,Vegetarian,Breakfast,"(-30.4590739, 119.4990243)"
541,Vegetables,12,3/29/2025,549,Catering Service,East Deborah,Vegan,Dinner,"(50.7935657, -0.0148108)"
542,Bread,7,3/26/2025,926,Grocery Store,North Chase,Vegetarian,Lunch,"(37.4196615, -77.6687938)"
547,Chicken,26,3/23/2025,825,Supermarket,South Bryan,Vegan,Snacks,"(33.1382085, -100.2321388)"
548,Fish,26,3/19/2025,714,Catering Service,North William,Vegan,Snacks,"(35.8199184, -81.1879054)"
551,Chicken,4,3/26/2025,245,Restaurant,Lake Heather,Vegan,Lunch,"(-35.0510817, 173.1935728)"
553,Salad,36,3/24/2025,93,Supermarket,New Daniel,Vegan,Breakfast,"(40.7667776, -73.9675711)"
562,Dairy,3,3/30/2025,906,Supermarket,West Kevin,Vegan,Dinner,"(53.2000721, 6.5104656)"
564,Fish,29,3/28/2025,518,Grocery Store,Anneville,Non-Vegetarian,Lunch,"(51.5438848, 4.822062)"
567,Bread,3,3/28/2025,234,Catering Service,New Joel,Vegetarian,Breakfast,"(41.3420393, -74.1679241)"
568,Fruits,11,3/29/2025,709,Restaurant,South Kathryn,Non-Vegetarian,Breakfast,"(42.2813334, -82.9101686)"
569,Fish,20,3/25/2025,68,Supermarket,North Elizabeth,Vegan,Lunch,"(40.6802119, -74.2062038)"
570,Vegetables,8,3/16/2025,659,Restaurant,East Lori,Non-Vegetarian,Breakfast,"(-2.0786208, 116.4004178)"
576,Salad,35,3/24/2025,786,Restaurant,Basstown,Non-Vegetarian,Lunch,"(35.0871112, -78.35639)"
578,Salad,27,3/29/2025,285,Restaurant,West Corey,Vegan,Snacks,"(42.2961246, -71.1670342)"
579,Dairy,44,3/24/2025,885,Restaurant,Lake Stephen,Vegetarian,Breakfast,"(31.2853474, -92.5005056)"
586,Vegetables,37,3/18/2025,54,Supermarket,Lake Rachael,Vegetarian,Breakfast,"(42.4889773, -87.8466273)"
587,Fruits,22,3/21/2025,192,Catering Service,Leslieville,Non-Vegetarian,Dinner,"(43.6627, -79.3328148)"
588,Dairy,31,3/27/2025,709,Restaurant,South Kathryn,Non-Vegetarian,Breakfast,"(42.2813334, -82.9101686)"
589,Rice,49,3/20/2025,20,Catering Service,East Samantha,Vegetarian,Dinner,"(52.9416425, -1.4264603)"
591,Fruits,19,3/28/2025,154,Supermarket,New John,Vegetarian,Breakfast,"(42.7404607, -78.3235486)"
596,Fish,44,3/29/2025,158,Catering Service,North Crystal,Non-Vegetarian,Lunch,"(48.5969371, -97.6695334)"
597,Dairy,12,3/20/2025,563,Grocery Store,East Angela,Vegetarian,Lunch,"(51.5423838, 0.027966)"
604,Pasta,47,3/27/2025,578,Catering Service,Port Carrie,Vegan,Breakfast,"(44.0552325, -82.9056251)"
605,Vegetables,20,3/23/2025,429,Grocery Store,Lake Benjamin,Vegetarian,Dinner,"(41.864365, -71.9511323)"
608,Vegetables,27,3/28/2025,17,Catering Service,West Dawn,Non-Vegetarian,Dinner,"(-33.8555955, 18.5184991)"
609,Bread,38,3/23/2025,541,Catering Service,West Karen,Vegetarian,Breakfast,"(18.5645396, -72.1698411)"
611,Vegetables,40,3/30/2025,993,Restaurant,East Stephanie,Vegetarian,Snacks,"(53.3361257, -1.9480654)"
612,Vegetables,45,3/17/2025,874,Catering Service,Priceland,Non-Vegetarian,Lunch,"(52.4681614, -1.8539396)"
615,Salad,11,3/23/2025,104,Catering Service,Lake Theresa,Vegetarian,Breakfast,"(28.560605, -81.3391667)"
616,Fish,35,3/20/2025,735,Restaurant,Westmouth,Non-Vegetarian,Dinner,"(34.7040516, -76.554647)"
617,Soup,27,3/18/2025,507,Grocery Store,Lake Diane,Vegetarian,Lunch,"(41.7182904, -84.6441773)"
621,Soup,23,3/21/2025,979,Restaurant,West Hunter,Non-Vegetarian,Lunch,"(40.6938348, -112.0624409)"
623,Salad,38,3/29/2025,37,Catering Service,New Amanda,Vegetarian,Breakfast,"(25.1714886, 121.4385003)"
628,Fish,5,3/16/2025,758,Catering Service,Port Patrick,Non-Vegetarian,Snacks,"(-20.1375476, 169.8301294)"
630,Bread,39,3/25/2025,478,Catering Service,Lake Regina,Vegan,Snacks,"(37.2286012, 140.0580751)"
633,Salad,19,3/28/2025,922,Restaurant,Lake Michael,Vegan,Snacks,"(42.5244956, -83.4359107)"
634,Bread,40,3/16/2025,205,Grocery Store,Carlbury,Non-Vegetarian,Breakfast,"(54.5381657, -1.6739109)"
636,Fish,11,3/25/2025,687,Catering Service,North James,Non-Vegetarian,Lunch,"(32.912929, -96.1392585)"
